"","Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"","Jonathan Rodríguez","POR","2025","W","27","0.11","-0.01","0.05","0.54","-0.03","0.01","0.67"
"","Santiago Moreno","POR","2025","W","494","0.03","-0.01","0.03","-0.01","0.00","-0.01","0.04"
"","David Ayala","POR","2025","DM","666","-0.01","0.01","0.05","-0.06","0.03","0.02","0.03"
"","Ian Smith","POR","2025","CB","316","0.02","0.02","0.01","0.03","-0.03","-0.02","0.02"
"","Finn Surman","POR","2025","CB","767","0.00","0.01","0.03","-0.00","-0.02","-0.01","0.02"
"","David Pereira Da Costa","POR","2025","AM","724","0.06","-0.01","-0.02","-0.01","-0.02","-0.01","-0.01"
"","Felipe Mora","POR","2025","ST","451","0.02","-0.01","-0.02","0.04","-0.05","-0.01","-0.03"
"","Kevin Kelsy","POR","2025","ST","383","-0.02","-0.01","0.04","-0.01","-0.03","-0.02","-0.05"
"","Juan Mosquera","POR","2025","FB","301","0.03","0.00","-0.05","-0.07","-0.01","0.04","-0.05"
"","Jimer Fory","POR","2025","FB","652","-0.04","-0.01","0.01","-0.02","0.00","-0.01","-0.05"
"","Antony","POR","2025","W","746","-0.06","-0.04","0.01","-0.04","0.02","0.03","-0.08"
"","Kamal Miller","POR","2025","CB","503","0.02","-0.00","-0.12","0.04","-0.01","-0.00","-0.08"
"","Cristhian Paredes","POR","2025","DM","115","-0.06","-0.01","0.13","-0.08","-0.03","-0.03","-0.09"
"","Diego Chará","POR","2025","DM","593","-0.00","-0.01","-0.02","-0.02","-0.02","-0.02","-0.10"
"","Ariel Lassiter","POR","2025","W","211","-0.01","-0.00","-0.01","-0.02","-0.06","-0.02","-0.12"
"","Eric Miller","POR","2025","FB","318","0.02","0.00","-0.10","-0.10","0.01","-0.01","-0.17"
"","Claudio Bravo","POR","2025","FB","61","-0.01","-0.38","0.06","0.05","0.00","0.09","-0.19"
"","Zac McGraw","POR","2025","CB","274","-0.01","-0.08","-0.07","-0.01","-0.02","-0.01","-0.20"
"","Joao Ortíz","POR","2025","CM","277","-0.05","-0.10","-0.03","-0.04","-0.03","-0.02","-0.27"
