"","Team","Season","Games","ShtF","ShtA","GF","GA","GD","xGF","xGA","xGD","GD-xGD","Pts","xPts"
"","CIN","2025","21","295","273","33","26","7","30.22","34.09","-3.87","10.87","42","26.98"
"","NSH","2025","21","290","218","37","22","15","42.86","25.99","16.87","-1.87","41","38.65"
"","PHI","2025","21","314","203","35","21","14","34.29","24.36","9.93","4.07","40","36.44"
"","SD","2025","21","293","218","44","28","16","38.52","32.02","6.51","9.49","39","35.54"
"","VAN","2025","20","277","191","35","22","13","35.35","22.80","12.54","0.46","38","33.94"
"","CLB","2025","21","272","203","32","27","5","34.26","31.42","2.84","2.16","38","31.47"
"","MIN","2025","21","255","273","32","22","10","34.29","27.94","6.35","3.65","37","33.91"
"","MIA","2025","18","219","228","42","28","14","32.89","29.31","3.58","10.42","35","27.36"
"","ORL","2025","21","327","267","39","28","11","40.01","26.76","13.26","-2.26","34","37.56"
"","POR","2025","20","227","277","28","27","1","25.96","34.53","-8.57","9.57","33","21.66"
"","NYC","2025","20","256","256","27","18","9","31.02","28.95","2.07","6.93","31","28.09"
"","NYRB","2025","21","238","239","31","24","7","29.68","31.10","-1.42","8.42","30","27.68"
"","SEA","2025","20","269","221","27","24","3","30.46","25.71","4.75","-1.75","30","30.20"
"","LAFC","2025","18","257","181","33","23","10","34.76","21.03","13.73","-3.73","29","33.16"
"","SJE","2025","21","333","272","40","33","7","41.73","32.87","8.86","-1.86","28","34.14"
"","CHI","2025","20","264","283","39","34","5","36.05","36.94","-0.89","5.89","28","29.09"
"","CLT","2025","21","242","305","33","36","-3","35.98","36.19","-0.21","-2.79","26","29.05"
"","COL","2025","22","247","310","24","30","-6","36.90","38.68","-1.78","-4.22","26","28.35"
"","HOU","2025","21","248","229","28","34","-6","27.38","27.30","0.07","-6.07","26","28.87"
"","ATX","2025","20","235","255","14","21","-7","26.67","27.07","-0.40","-6.60","26","28.34"
"","NER","2025","20","230","296","23","25","-2","25.02","34.52","-9.49","7.49","24","21.15"
"","SKC","2025","21","212","299","31","36","-5","22.60","42.96","-20.36","15.36","23","18.55"
"","RSL","2025","20","275","254","20","27","-7","27.76","34.83","-7.07","0.07","22","24.13"
"","FCD","2025","20","212","276","27","37","-10","28.81","33.27","-4.46","-5.54","21","24.21"
"","DCU","2025","21","233","253","17","38","-21","26.06","32.64","-6.59","-14.41","19","24.63"
"","ATL","2025","20","227","258","19","37","-18","30.58","32.06","-1.48","-16.52","18","26.41"
"","TOR","2025","20","202","257","20","28","-8","20.96","29.96","-9.00","1.00","17","20.96"
"","STL","2025","21","252","339","19","33","-14","29.25","38.44","-9.19","-4.81","15","24.00"
"","MTL","2025","21","233","271","18","40","-22","26.35","34.71","-8.36","-13.64","14","23.25"
"","LAG","2025","21","235","264","22","40","-18","26.91","35.13","-8.22","-9.78","12","23.82"
