"","Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"","Lionel Messi","MIA","2025","ST","1452","2.75","0.11","-0.13","2.08","0.59","1.25","6.66"
"","Dénis Bouanga","LAFC","2025","W","1651","1.77","0.59","-0.23","-0.16","0.91","1.06","3.94"
"","Hugo Cuypers","CHI","2025","ST","1750","0.85","0.03","0.25","-0.14","1.82","0.57","3.38"
"","Sam Surridge","NSH","2025","ST","2008","1.32","0.27","-0.11","0.08","1.40","0.39","3.35"
"","Noah Eile","NYRB","2025","CB","1970","0.74","0.16","1.74","0.47","-0.01","0.15","3.26"
"","Gabriel Pec","LAG","2025","W","1771","2.30","-0.01","-0.06","-0.55","0.12","0.95","2.75"
"","Hirving Lozano","SD","2025","W","1179","0.09","0.14","-0.08","0.34","1.40","0.55","2.43"
"","Andrew Gutman","CHI","2025","FB","1867","0.06","0.24","1.00","0.48","0.19","0.36","2.33"
"","Brian Gutiérrez","CHI","2025","CM","1269","0.07","0.12","0.49","0.73","0.42","0.46","2.29"
"","Anthony Markanich","MIN","2025","FB","1185","-0.06","-0.21","1.07","-0.33","1.43","0.33","2.22"
"","Djordje Mihailovic","COL","2025","AM","1984","0.76","0.27","-0.04","1.71","-0.51","0.01","2.20"
"","Christian Benteke","DCU","2025","ST","1122","-0.21","0.11","-0.10","-0.60","2.31","0.61","2.12"
"","Hany Mukhtar","NSH","2025","ST","2045","0.32","1.03","-0.06","0.20","-0.10","0.73","2.12"
"","Evander","CIN","2025","AM","1738","1.08","0.34","-0.16","0.37","-0.33","0.79","2.09"
"","Cristian Espinoza","SJE","2025","FB","1934","0.26","-0.04","-0.13","1.94","0.07","-0.08","2.03"
"","Josef Martínez","SJE","2025","ST","1134","0.30","0.10","-0.20","-0.42","1.72","0.50","2.00"
"","Sean Zawadzki","CLB","2025","CB","1813","0.40","0.19","0.59","0.80","-0.02","-0.06","1.90"
"","Jack Elliott","CHI","2025","CB","1896","0.06","-0.13","1.21","0.34","0.36","0.06","1.90"
"","Brian White","VAN","2025","ST","1116","-1.17","0.19","-0.12","-0.04","2.63","0.34","1.83"
"","Rafael Navarro","COL","2025","ST","1774","0.04","0.35","0.24","0.08","1.07","0.01","1.80"
"","Simon Becher","STL","2025","W","1115","0.02","0.17","0.36","-0.61","1.52","0.28","1.74"
"","Milan Iloski","SD","2025","ST","585","0.77","0.02","-0.24","-0.08","0.58","0.69","1.74"
"","Carles Gil","NER","2025","AM","2023","0.65","0.46","-0.21","2.15","-1.13","-0.18","1.74"
"","Albert Rusnák","SEA","2025","AM","1537","0.30","0.08","-0.40","1.55","-0.11","0.29","1.72"
"","Dylan Chambost","CLB","2025","CM","1881","0.35","0.01","0.44","0.96","-0.05","-0.03","1.68"
"","Alexander Freeman","ORL","2025","FB","1668","0.11","0.09","-0.00","-0.45","1.60","0.30","1.66"
"","Luciano Acosta","FCD","2025","AM","1840","0.30","0.61","-0.09","1.59","-0.51","-0.25","1.65"
"","Pep Biel","CLT","2025","AM","1772","-0.26","-0.24","-0.32","1.81","0.54","0.06","1.59"
"","Jackson Ragen","SEA","2025","CB","1033","0.02","0.10","0.36","0.87","0.15","0.06","1.56"
"","Rodrigues","SJE","2025","CB","1358","-0.02","0.14","0.65","0.48","0.26","0.05","1.55"
"","Adilson Malanda","CLT","2025","CB","2122","-0.07","-0.28","1.51","0.25","0.19","-0.07","1.52"
"","Maya Yoshida","LAG","2025","CB","1630","0.13","0.15","-0.11","0.91","0.28","0.13","1.47"
"","Preston Judd","SJE","2025","ST","689","-0.16","0.31","-0.02","0.35","0.96","0.02","1.45"
"","Christopher McVey","SD","2025","CB","2141","0.15","0.18","0.27","0.62","0.17","0.04","1.43"
"","Pedro Vite","VAN","2025","CM","1462","-0.24","-0.03","0.17","1.23","0.09","0.17","1.40"
"","Bruno Damiani","PHI","2025","ST","1264","-0.32","-0.06","0.45","0.07","0.92","0.32","1.39"
"","Marco Pasalic","ORL","2025","W","1803","0.57","-0.11","-0.09","0.51","-0.27","0.77","1.39"
"","Justin Haak","NYC","2025","CB","1935","-0.05","0.13","1.09","0.31","-0.11","0.01","1.38"
"","Keaton Parks","NYC","2025","DM","993","0.13","0.11","0.29","0.20","0.54","0.11","1.38"
"","Martín Ojeda","ORL","2025","AM","1761","0.34","-0.12","-0.17","0.77","0.29","0.27","1.38"
"","Justen Glad","RSL","2025","CB","1747","0.21","0.35","0.66","-0.07","0.19","0.00","1.35"
"","Liel Abada","CLT","2025","W","1277","0.51","-0.09","-0.21","0.16","0.54","0.41","1.32"
"","Ryan Hollingshead","LAFC","2025","FB","1289","0.20","0.34","-0.21","0.01","0.62","0.33","1.30"
"","Anders Dreyer","SD","2025","W","2090","-0.68","-0.06","-0.40","0.66","1.34","0.43","1.28"
"","Aníbal Godoy","SD","2025","CM","1358","0.15","0.15","-0.15","1.20","-0.07","-0.01","1.28"
"","Thiago Martins","NYC","2025","CB","1808","-0.13","0.24","0.77","0.63","-0.11","-0.12","1.27"
"","Guilherme Biro","ATX","2025","FB","1812","-0.17","0.08","0.45","0.28","0.67","-0.04","1.26"
"","David Brekalo","ORL","2025","FB","1629","0.56","0.09","-0.21","0.12","0.45","0.22","1.24"
"","Mark Delgado","LAFC","2025","CM","1336","0.14","-0.08","0.37","0.85","-0.08","0.01","1.22"
"","Kelvin Yeboah","MIN","2025","ST","1490","0.37","-0.26","0.10","0.12","0.47","0.42","1.22"
"","Steven Moreira","CLB","2025","CB","1474","0.04","0.15","0.13","0.81","-0.06","0.13","1.21"
"","Pedrinho","FCD","2025","W","855","0.77","-0.06","0.08","0.37","0.10","-0.07","1.20"
"","Kai Wagner","PHI","2025","FB","1921","-0.38","0.10","0.24","1.70","-0.30","-0.16","1.20"
"","Andy Najar","NSH","2025","FB","1683","0.14","-0.25","0.24","1.19","-0.11","-0.02","1.19"
"","Yevhen Cheberko","CLB","2025","CB","1673","0.46","-0.11","-0.35","1.45","-0.17","-0.10","1.19"
"","Miles Robinson","CIN","2025","CB","1415","-0.34","-0.11","0.52","0.70","0.27","0.12","1.16"
"","Patrick Agyemang","CLT","2025","ST","1316","0.52","0.37","-0.25","-0.35","0.83","0.04","1.16"
"","David Martínez","LAFC","2025","W","808","0.53","-0.06","0.42","-0.20","0.25","0.23","1.16"
"","Jayden Nelson","VAN","2025","W","740","0.86","0.11","-0.08","0.22","-0.14","0.18","1.16"
"","Felipe Carballo","NYRB","2025","DM","1053","0.10","0.01","0.59","0.39","0.01","0.03","1.13"
"","Luca Orellano","CIN","2025","FB","1424","0.93","0.11","-0.06","-0.03","-0.20","0.37","1.13"
"","Kerwin Vargas","CLT","2025","W","899","0.50","-0.05","0.06","0.20","0.21","0.21","1.13"
"","Max Arfsten","CLB","2025","FB","1549","0.45","0.14","-0.77","-0.23","1.11","0.42","1.13"
"","David Schnegg","DCU","2025","FB","2036","-0.01","0.02","0.79","-0.14","0.44","-0.01","1.08"
"","Eddie Segura","LAFC","2025","CB","1338","0.28","0.03","0.09","0.39","0.24","0.05","1.08"
"","Aaron Long","LAFC","2025","CB","1342","-0.05","0.09","0.60","0.72","-0.24","-0.04","1.07"
"","Prince Owusu","MTL","2025","ST","1853","0.03","-0.35","0.34","-0.12","1.16","0.00","1.05"
"","Cameron Harper","NYRB","2025","FB","744","0.27","0.27","-0.08","-0.07","0.35","0.28","1.03"
"","Lukas Engel","CIN","2025","FB","1824","-0.03","0.05","0.73","0.21","0.04","0.02","1.03"
"","David Ayala","POR","2025","DM","1685","-0.13","0.03","1.15","-0.25","0.05","0.16","1.02"
"","Shaq Moore","FCD","2025","FB","1844","-0.24","0.02","0.68","-0.00","0.51","0.04","1.00"
"","Luis Muriel","ORL","2025","ST","1564","-0.12","0.20","-0.12","1.62","-0.58","-0.03","0.99"
"","Chris Donovan","PHI","2025","ST","567","0.21","0.50","0.09","-0.03","0.36","-0.18","0.95"
"","Tristan Blackmon","VAN","2025","CB","1775","-0.16","0.16","-0.15","1.07","0.07","-0.05","0.95"
"","George Campbell","MTL","2025","CB","1499","-0.89","0.16","1.27","0.34","-0.01","0.09","0.94"
"","Bongokuhle Hlongwane","MIN","2025","FB","1625","-0.35","0.27","0.34","-0.68","1.09","0.27","0.94"
"","Nicolás Romero","MIN","2025","CB","1562","-0.19","0.10","0.41","-0.07","0.57","0.11","0.93"
"","Sergio Busquets","MIA","2025","CM","1699","-0.05","0.06","0.23","1.42","-0.42","-0.32","0.92"
"","Souleyman Doumbia","CLT","2025","FB","638","0.09","0.02","0.83","0.19","-0.14","-0.08","0.92"
"","Eduard Atuesta","ORL","2025","CM","1334","-0.09","0.19","-0.23","0.85","0.01","0.17","0.91"
"","Alexander Hack","NYRB","2025","CB","1053","-0.04","0.05","0.12","0.67","0.09","0.00","0.89"
"","Cristian Arango","SJE","2025","ST","1590","-0.09","-0.02","0.35","0.27","-0.12","0.50","0.89"
"","Miguel Almirón","ATL","2025","W","1736","0.16","-0.18","-0.06","0.75","0.10","0.11","0.89"
"","Federico Bernardeschi","TOR","2025","W","1443","0.99","-0.12","-0.05","0.88","-1.08","0.26","0.87"
"","Cristian Roldan","SEA","2025","DM","1818","0.10","0.02","0.42","0.45","-0.11","-0.04","0.85"
"","Danny Musovski","SEA","2025","ST","984","-0.61","-0.04","0.24","-0.41","1.36","0.26","0.81"
"","Quinn Sullivan","PHI","2025","W","1410","0.67","-0.08","0.28","0.38","-0.46","0.00","0.80"
"","Giacomo Vrioni","MTL","2025","ST","400","-0.28","-0.07","-0.04","-0.13","1.05","0.27","0.79"
"","Ousseni Bouda","SJE","2025","W","839","0.06","-0.03","-0.13","-0.28","0.84","0.32","0.79"
"","Olivier Giroud","LAFC","2025","ST","595","0.11","0.02","-0.01","-0.11","0.67","0.09","0.78"
"","Diego Rossi","CLB","2025","ST","1971","-0.23","0.11","-0.26","-0.01","0.46","0.71","0.77"
"","Ali Ahmed","VAN","2025","W","868","0.41","-0.07","0.01","0.52","-0.11","-0.01","0.75"
"","Kalani Kossa-Rienzi","SEA","2025","FB","896","0.16","-0.05","0.38","0.26","-0.02","0.00","0.74"
"","Mathías Laborda","VAN","2025","FB","1109","-0.37","0.00","-0.27","0.37","0.84","0.15","0.73"
"","Christian Ramírez","LAG","2025","ST","947","-0.16","-0.06","-0.08","0.40","0.71","-0.09","0.72"
"","Brandon Vázquez","ATX","2025","ST","1734","-0.79","-0.19","0.23","0.23","1.23","0.01","0.72"
"","Felipe","HOU","2025","FB","788","-0.05","-0.03","-0.01","0.22","0.28","0.30","0.71"
"","Manu García","SKC","2025","CM","2050","-0.17","0.33","-0.45","1.62","-0.34","-0.31","0.68"
"","Alonso Martínez","NYC","2025","ST","1608","-1.41","0.83","-0.23","-0.16","1.20","0.46","0.67"
"","Jonathan Bamba","CHI","2025","W","1653","-0.28","-0.09","0.24","0.52","0.42","-0.14","0.67"
"","Brandon Bye","NER","2025","FB","773","-0.10","0.03","0.62","-0.03","0.17","-0.03","0.67"
"","Beau Leroux","SJE","2025","CM","1630","-0.07","0.18","0.40","-0.38","0.22","0.31","0.67"
"","Amahl Pellegrino","SJE","2025","AM","565","-0.30","-0.05","-0.07","0.09","0.92","0.07","0.67"
"","Walker Zimmerman","NSH","2025","CB","857","-0.00","0.02","0.30","0.02","0.21","0.11","0.66"
"","Idan Toklomati","CLT","2025","ST","753","-0.15","-0.07","0.05","-0.30","1.17","-0.03","0.65"
"","Nouhou","SEA","2025","FB","1590","0.01","0.13","0.81","-0.21","-0.12","0.02","0.65"
"","Josh Atencio","COL","2025","DM","1687","-0.03","0.04","0.55","0.36","-0.18","-0.10","0.64"
"","Joaquín Pereyra","MIN","2025","CM","1711","-0.53","-0.13","0.27","0.88","-0.11","0.23","0.61"
"","Žan Kolmanič","ATX","2025","FB","502","0.04","0.04","0.27","0.25","-0.01","0.01","0.60"
"","Tayvon Gray","NYC","2025","FB","686","0.05","0.02","0.28","0.31","-0.08","0.01","0.59"
"","Julián Fernández","NYC","2025","W","1214","0.31","-0.05","0.21","0.60","-0.41","-0.08","0.59"
"","Ranko Veselinović","VAN","2025","CB","1809","0.39","-0.08","-0.30","-0.06","0.54","0.09","0.59"
"","Javain Brown","RSL","2025","FB","210","0.01","0.01","0.51","-0.06","0.05","0.07","0.58"
"","Kyle Hiebert","STL","2025","CB","1647","0.02","0.14","1.07","-0.34","-0.27","-0.04","0.58"
"","Jeison Palacios","NSH","2025","CB","1193","0.05","0.09","0.17","0.10","0.05","0.12","0.57"
"","Jonathan Pérez","NSH","2025","W","595","0.23","-0.05","0.01","0.36","-0.17","0.18","0.56"
"","Dennis Gjengaar","NYRB","2025","W","570","-0.09","-0.05","0.44","-0.32","0.45","0.12","0.56"
"","Andrew Privett","CLT","2025","CB","1737","-0.33","-0.34","0.98","0.51","-0.11","-0.14","0.56"
"","Jansen Miller","SKC","2025","CB","1785","-0.03","-0.11","0.39","-0.14","0.40","0.06","0.56"
